Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-02,1654,"ТОВ ""Міжнародна комерційна телерадіокомпанія"" (ICTV)","м. Київ, вул. Паньківська, буд. 11",14323764,"Оплата ефірного часу на телебаченні згідно з рахунком № 209 від 27.06.2019, в т.ч. ПДВ 100975.00 грн.",605850,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-02,1657,"ТОВ ""Телерадіокомпанія ""Україна""","Донецька обл., м. Маріуполь, вул. Харлампіївська, буд. 17/25",05744121,Оплата ефірного часу на телебаченні  згідно з рахунком № 560 від 01.07.2019 в т.ч. ПДВ 231531.33 грн.,1389188,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-02,1658,"ТОВ ""Інтер реклама центр""","м. Київ, вул. Воровського, буд. 22А",30524103,Оплата ефірного часу на телебаченні згідно з рахунком №124 від 01.07.2019 в т.ч. ПДВ 289932.00 грн.,1739592,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-02,1653,"ТОВ ""Телерадіокомпанія ""Студія 1+1""","м. Київ, вул. Кирилівська, буд. 23",23729809,"Оплата ефірного часу на телебаченні (Розповсюдження предвиборної агітації на каналах) згідно з рахунком № 563 від 27.06.2019, в т.ч. ПДВ 303300.00 грн.",1819800,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1220,2019-07-03,8,"ПП ""Редакція газети ""Дубровицький вісник""","Рівненська обл., Дубровицький р-н, м. Дубровиця, вул. Макарівська, буд. 5",21084403,публікування агітаційних матеріалів у друкованих засобах масовї інформації згідно рахунку №12 від 01.07.2019р. Без ПДВ,"2173,5",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
"Всеукраїнське обʼєднання ""Батьківщина""",223,1220,2019-07-03,7,"ПП ""Газета ""Полісся""","Рівненська обл., Зарічненський р-н, смт Зарічне, вул. Центральна, буд. 59",30563142,публікування агітаційних матеріалів у друкованих засобах масовї інформації згідно рахункум №79 від 02.07.2019р. Без ПДВ,2431,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
"Всеукраїнське обʼєднання ""Батьківщина""",223,1220,2019-07-03,1677,"ТОВ ""Газета ""Наше місто""","м. Дніпро, вул. Старокозацька, буд. 58, кімн. 405",19087191,Публікування агітаційних матеріалів у друкованих засобах масової інформації згідно з Додатком №1 до Договору від 01.07.2019 в т.ч. ПДВ 3872.00 грн.,23232,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
"Всеукраїнське обʼєднання ""Батьківщина""",223,1350,2019-07-04,1691,Сітніков Сергій Михайлович,"м. Дніпро, вул. Малиновського, буд. 44, кв. 66",,Розміщення друкованих агітаційних матеріалів чи політичної реклами на носіях зовнішньої реклами згідно з рахунком №СІТ6 від 27.06.2019 без ПДВ.,552200,ФОП,"розміщення друкованих агітаційних матеріалів чи політичної реклами на носіях зовнішньої реклами (білбордах, вивісках, сітілайтах тощо)"
"Всеукраїнське обʼєднання ""Батьківщина""",223,1110,2019-07-04,1690,"ТОВ ""Видавництво ""Сілл""","м. Дніпро, вул. Барикадна, буд. 15А",41287542,Виготовлення друкованих матеріалів предвиборної агітації згідно з рахунком №ВДС 176 від 27.06.2019 без ПДВ.,26100,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
"Всеукраїнське обʼєднання ""Батьківщина""",223,1120,2019-07-04,1683,"КП Київської міської ради ""Телекомпанія ""Київ""","м. Київ, вул. Хрещатик, буд. 36",25195855,Виготовлення відеозаписів згідно з рахунком №174-1 від 03.07.2019 в т.ч. ПДВ 2166.67 грн.,13000,юридична особа,виготовлення відеозаписів
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-04,1682,"КП Київської міської ради ""Телекомпанія ""Київ""","м. Київ, вул. Хрещатик, буд. 36",25195855,Оплата ефірного часу на телебаченні згідно з рахунком №175-1 від 03.07.2019 в т.ч. ПДВ 312.30 грн.,"1873,8",юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1110,2019-07-05,1719,Лизогубенко Андрій Анатолійович,"Житомирська обл., м. Бердичів, вул. Здоровʼя, буд. 7, кв. 38",,Виготовлення друкованих матеріалів згідно з рахунком №151 від 05.07.2019 без ПДВ,340,ФОП,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-05,1716,"ТОВ ""Новий канал""","м. Київ, вул. Тургенєвська, буд. 25",23530545,"Оплата ефірного часу на телебаченні згідно з рахунком № СФ-00000186 від 27.06.2019, в т.ч. ПДВ 7916.67 грн.",47500,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1110,2019-07-05,1700,"ТОВ ""Видавничо-поліграфічний дім ""Формат А+""","м. Дніпро, просп. Богдана Хмельницького, буд. 106А, кімн. 2",40956923,Виготовлення друкованих матеріалів предвиборної агітації згідно з рахунком №1/0307 від 04.07.2019 в т.ч. ПДВ 20300.00 грн.,121800,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-05,1715,"ТОВ ""Телеканал ""СТБ""","м. Київ, вул. Івана Шевцова, буд. 1",20044726,"Оплата ефірного часу на телебаченні згідно з рахунком № 422 від 27.06.2019, в т.ч. ПДВ 22566.67 грн.",135400,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1340,2019-07-05,1709,"ТОВ ""Акко інтернешнл""","м. Київ, просп. Перемоги, буд. 40Б",19257351,Оренда приміщень усіх форм власності для проведення зборів громадян згідно з рахунком № 789 від 04.07.2019 в т.ч. ПДВ 27791.67 грн.,166750,юридична особа,оренда будинків і приміщень усіх форм власності для проведення зборів громадян та інших зустрічей з виборцями
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-05,1714,"ТОВ ""Міжнародна комерційна телерадіокомпанія"" (ICTV)","м. Київ, вул. Паньківська, буд. 11",14323764,"Оплата ефірного часу на телебаченні згідно з рахунком № 209 від 27.06.2019, в т.ч. ПДВ 29466.67 грн.",176800,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-05,1713,"ТОВ ""Телерадіокомпанія ""Студія 1+1""","м. Київ, вул. Кирилівська, буд. 23",23729809,"Оплата ефірного часу на телебаченні (Розповсюдження предвиборної агітації на каналах) згідно з рахунком № 563 від 27.06.2019, в т.ч. ПДВ 78166.67 грн.",469000,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-05,1717,"ТОВ ""Телерадіокомпанія ""Україна""","Донецька обл., м. Маріуполь, вул. Харлампіївська, буд. 17/25",05744121,Оплата ефірного часу на телебаченні  згідно з рахунком № 560 від 01.07.2019 в т.ч. ПДВ 80216.67 грн.,481300,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-05,1718,"ТОВ ""Інтер реклама центр""","м. Київ, вул. Воровського, буд. 22А",30524103,Оплата ефірного часу на телебаченні згідно з рахунком №124 від 01.07.2019 в т.ч. ПДВ 82166.67 грн.,493000,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-05,1723,"ТОВ ""Телерадіокомпанія ""Україна""","Донецька обл., м. Маріуполь, вул. Харлампіївська, буд. 17/25",05744121,Оплата ефірного часу на телебаченні  згідно з рахунком № 560 від 01.07.2019 в т.ч. ПДВ 175000.00 грн.,1050000,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-05,1724,"ТОВ ""Інтер реклама центр""","м. Київ, вул. Воровського, буд. 22А",30524103,Оплата ефірного часу на телебаченні згідно з рахунком №124 від 01.07.2019 в т.ч. ПДВ 175000.00 грн.,1050000,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-05,1722,"ТОВ ""Телерадіокомпанія ""Студія 1+1""","м. Київ, вул. Кирилівська, буд. 23",23729809,"Оплата ефірного часу на телебаченні (Розповсюдження предвиборної агітації на каналах) згідно з рахунком № 563 від 27.06.2019, в т.ч. ПДВ 533333.33 грн.",3200000,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1400,2019-07-08,1727,Центр екстреної медичної допомоги та медицини катастроф м. Києва,"м. Київ, вул. Богдана Хмельницького, буд. 37Б",39007616,Інші витрати на предвиборну агітацію згідно з рахунком № 758 від 04.07.2019 в т.ч. ПДВ 449.64 грн.,"2697,84",юридична особа,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-08,1735,"ТОВ ""Телерадіокомпанія ""Рівне-1""","м. Рівне, вул. Данила Галицького, буд. 19, оф. 701",22573340,Оплата ефірного часу на телебаченні згідно з рахунком №0807/К/1 від 08.07.2019 в т.ч. ПДВ 833.33 грн.,5000,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-08,1729,"ПАТ ""НСТУ""","м. Київ, вул. Мельникова, буд. 42",23152907,Оплата ефірного часу на телебаченні згідно з рахунком №29 від 04.07.2019 в т.ч. ПДВ 1475.00 грн.,8850,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1400,2019-07-08,1726,"ПП ""Українська правда""","м. Київ, вул. Омеляновича-Павленка, буд. 4/6, оф. 904",31565711,Інші витрати на предвиборну агітацію згідно з рахунком №52 від 04.07.2019 без ПДВ,"10526,32",юридична особа,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-08,1733,"ПрАТ ""Телевізійна служба Дніпропетровська""","м. Дніпро, вул. Воскресенська, буд. 14, оф. 107",20264089,Оплата ефірного часу на телебаченні згідно з рахунком №618 від 04.2019 в т.ч. ПДВ 4800.00 грн.,28800,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-08,1741,"Дочірнє підприємство ""Телерадіокомпанія ""Стерх"" ТОВ ""Природні інвестиції""","м. Дніпро, вул. Писаржевського, буд. 1А",24434223,Оплата ефірного часу на телебаченні згідно з рахунком № СФ 07/26 від 05.07.2019 в т.ч. ПДВ 6001.20 грн.,"36007,2",юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1400,2019-07-08,1725,"ТОВ ""Сейлс інформ""","м. Київ, вул. Турівська, буд. 19Б",42455227,Інші витрати на предвиборну агітацію згідно з рахунком №СФ45 від 01.07.2019 без ПДВ.,75833,юридична особа,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-08,1731,"ПрАТ ""Телевізійна служба Дніпропетровська""","м. Дніпро, вул. Воскресенська, буд. 14, оф. 107",20264089,Оплата ефірного часу на телебаченні згідно з рахунком №619 від 04.2019 в т.ч. ПДВ 18000.00 грн.,108000,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1110,2019-07-08,1747,"ТОВ ""РТМ-Україна""","м. Київ, вул. Кошового Олега, буд. 2Б",31282375,Виготовлення друкованих матеріалів предвиборної агітації згідно з рахунком № РТ 2646 від 01.07.2019 в т.ч. ПДВ 50000.00 грн.,300000,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
"Всеукраїнське обʼєднання ""Батьківщина""",223,1212,2019-07-09,1758,"ПАТ ""НСТУ""","м. Київ, вул. Мельникова, буд. 42",23152907,Оплата ефірного часу на радіо згідно з рахунком № НТК47 від 09.08.2019р. в т.ч. ПДВ 165.04 грн.,"990,25",юридична особа,оплата ефірного часу на радіо
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-09,1757,"ПАТ ""НСТУ""","м. Київ, вул. Мельникова, буд. 42",23152907,Оплата ефірного часу на телебаченні згідно з рахунком №НТК46 від 09.08.2019р. в т.ч. ПДВ 412.71 грн.,"2476,25",юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1220,2019-07-09,1755,"ТОВ ""Медіа-центр ""Білопільщина""","Сумська обл., Білопільський р-н, м. Білопілля, вул. Соборна, буд. 52",02475032,Публікування агітаційних матеріалів у друкованих засобах массової інформації згідно з рахунком № 717 від 08.08.2019р.  в т.ч. ПДВ 600.54 грн.,"3603,22",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
"Всеукраїнське обʼєднання ""Батьківщина""",223,1220,2019-07-09,1752,Поляченко Анатолій Володимирович,"м. Суми, вул. Нахімова, буд. 40, кв. 8",,Публікування агітаційних матеріалів у друкованих засобах масової інформації згідно з рахунком № СФ-192 від 08.08.2019р. без ПДВ.,"3776,25",ФОП,оплата друкованих площ у друкованих засобах масової інформації
"Всеукраїнське обʼєднання ""Батьківщина""",223,1400,2019-07-09,1759,ГУ ДСНС у м. Києві,"м. Київ, вул. Володимирська, буд. 13",38620155,Інші витрати на предвиборну агітацію згідно з рахунком №ПП 19-743 від 25.04.2019р. в т.ч. ПДВ 744.95 грн.,"4469,69",юридична особа,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
"Всеукраїнське обʼєднання ""Батьківщина""",223,1220,2019-07-09,1754,"Сумська громадсько-ділова газета ""Ваш шанс"" (у формі ТОВ)","м. Суми, вул. Кооперативна, буд. 19",21120470,Публікування агітаційних матеріалів у друкованих засобах масової інформації згідно з рахунком № СФ-487 від 08.08.2019р. в т.ч. ПДВ 796.67 грн.,4780,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
"Всеукраїнське обʼєднання ""Батьківщина""",223,1220,2019-07-09,1753,"ТОВ ""Краснопільська газета ""Перемога""","Сумська обл., Краснопільський р-н, смт Краснопілля, вул. Мезенівська, буд. 1",35906306,Публікування агітаційних матеріалів у друкованих засобах масової інформації згідно з рахунком №228 від 08.08.2019 в т.ч. ПДВ 924.63 грн.,"5547,78",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
"Всеукраїнське обʼєднання ""Батьківщина""",223,1110,2019-07-09,1748,"ТОВ з іноземними інвестиціями ""Типографія ""Україна""","м. Дніпро, вул. Олександра Оцупа, буд. 7А",25517827,Виготовлення друкованих матеріалів предвиборної агітації згідно з рахунком № 0507/8/933 від 08.07.2019 в т.ч. ПДВ 3000.00 грн.,18000,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-09,1756,"Дочірнє підприємство ""Телерадіокомпанія ""Аверс""","м. Луцьк, вул. Електроапаратна, буд. 3",21755180,Оплата ефірного часу на телебаченні згідно з рахунком № СФ - 108 від 03.08.2019р. в т.ч. ПДВ 3216.00 грн.,19296,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1110,2019-07-09,1749,"ТОВ ""Український центр реклами та поліграфії""","м. Київ, вул. Академіка Щусєва, буд. 2/19, кв. 44",38203216,Виготовлення друкованих матеріалів предвиборної агітації згідно з рахунком №05/07.19 від 05.07.2019 в т.ч. ПДВ 5211.67 грн.,31270,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-09,1762,"ТОВ ""Телерадіокомпанія ""Україна""","Донецька обл., м. Маріуполь, вул. Харлампіївська, буд. 17/25",05744121,Оплата ефірного часу на телебаченні  згідно з рахунком № 560 від 01.07.2019 в т.ч. ПДВ 172683.33 грн.,1036100,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-09,1761,"ТОВ ""Телерадіокомпанія ""Студія 1+1""","м. Київ, вул. Кирилівська, буд. 23",23729809,"Оплата ефірного часу на телебаченні (Розповсюдження предвиборної агітації на каналах) згідно з рахунком № 563 від 27.06.2019, в т.ч. ПДВ 210650.00 грн.",1263900,юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1220,2019-07-10,1779,"ТОВ ""Редакція Здолбунівської районної газети ""Нове життя""","Рівненська обл., Здолбунівський р-н, м. Здолбунів, вул. Лесі Українки, буд. 6",02474891,Публікування агітаційних матеріалів у друкованих засобах масової інформації згідно з рахунком №133 від 9.07.2019 без ПДВ.,"625,5",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
"Всеукраїнське обʼєднання ""Батьківщина""",223,1220,2019-07-10,1781,"ТОВ ""Редакція Острозької міської газети ""Замкова гора""","Рівненська обл., м. Острог, вул. Героїв Майдану, буд. 7",30044487,Публікування агітаційних матеріалів у друкованих засобах масової інформації згідно з рахунком № 37 від 09.08.2019 без ПДВ.,"1164,8",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
"Всеукраїнське обʼєднання ""Батьківщина""",223,1220,2019-07-10,1778,"ТОВ ""Володимирецький вісник""","Рівненська обл., Володимирецький р-н, смт Володимирець, вул. Шкільна, буд. 19А",38184974,Публікування агітаційних матеріалів у друкованих засобах масової інформації згідно з рахунком № 236 від 10.08.2019 без ПДВ.,1281,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
"Всеукраїнське обʼєднання ""Батьківщина""",223,1211,2019-07-10,1771,"КП Київської міської ради ""Телекомпанія ""Київ""","м. Київ, вул. Хрещатик, буд. 36",25195855,Оплата ефірного часу на телебаченні згідно з рахунком №185-1 08.09.2019р. в т.ч. ПДВ 312.30 грн.,"1873,8",юридична особа,оплата ефірного часу на телебаченні
"Всеукраїнське обʼєднання ""Батьківщина""",223,1220,2019-07-10,1782,"ПП ""Редакція газети ""Дубровицький вісник""","Рівненська обл., Дубровицький р-н, м. Дубровиця, вул. Макарівська, буд. 5",21084403,Публікування агітаційних матеріалів у друкованих засобах масової інформації згідно з рахунком №233 від 04.08.2019 без ПДВ.,"2028,6",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
"Всеукраїнське обʼєднання ""Батьківщина""",223,1220,2019-07-10,1801,"ПП ""Орлан""","Рівненська обл., м. Дубно, вул. Садова, буд. 25",31819372,"Публікування агітаційних матеріалів у друкованих засобах масової інформації згідно з рахунком № 82 від 09.07.2019, без ПДВ",2250,юридична особа,оплата друкованих площ у друкованих засобах масової інформації
